base 2,base 3,base 4,base 5,base 6,base 7,base 8,base 9,base 10,base 11,base 12,base 13,base 14,base 15,base 16
11101010000,2120100,131100,24442,12400,5313,3520,2510,1872,1452,1100,b10,97a,84c,750
11101010001,2120101,131101,24443,12401,5314,3521,2511,1873,1453,1101,b11,97b,84d,751
11101010010,2120102,131102,24444,12402,5315,3522,2512,1874,1454,1102,b12,97c,84e,752
11101010011,2120110,131103,30000,12403,5316,3523,2513,1875,1455,1103,b13,97d,850,753
11101010100,2120111,131110,30001,12404,5320,3524,2514,1876,1456,1104,b14,980,851,754
11101010101,2120112,131111,30002,12405,5321,3525,2515,1877,1457,1105,b15,981,852,755
11101010110,2120120,131112,30003,12410,5322,3526,2516,1878,1458,1106,b16,982,853,756
11101010111,2120121,131113,30004,12411,5323,3527,2517,1879,1459,1107,b17,983,854,757
11101011000,2120122,131120,30010,12412,5324,3530,2518,1880,145a,1108,b18,984,855,758
11101011001,2120200,131121,30011,12413,5325,3531,2520,1881,1460,1109,b19,985,856,759
11101011010,2120201,131122,30012,12414,5326,3532,2521,1882,1461,110a,b1a,986,857,75a
11101011011,2120202,131123,30013,12415,5330,3533,2522,1883,1462,110b,b1b,987,858,75b
11101011100,2120210,131130,30014,12420,5331,3534,2523,1884,1463,1110,b1c,988,859,75c
11101011101,2120211,131131,30020,12421,5332,3535,2524,1885,1464,1111,b20,989,85a,75d
11101011110,2120212,131132,30021,12422,5333,3536,2525,1886,1465,1112,b21,98a,85b,75e
11101011111,2120220,131133,30022,12423,5334,3537,2526,1887,1466,1113,b22,98b,85c,75f
11101100000,2120221,131200,30023,12424,5335,3540,2527,1888,1467,1114,b23,98c,85d,760
11101100001,2120222,131201,30024,12425,5336,3541,2528,1889,1468,1115,b24,98d,85e,761
11101100010,2121000,131202,30030,12430,5340,3542,2530,1890,1469,1116,b25,990,860,762
11101100011,2121001,131203,30031,12431,5341,3543,2531,1891,146a,1117,b26,991,861,763
11101100100,2121002,131210,30032,12432,5342,3544,2532,1892,1470,1118,b27,992,862,764
11101100101,2121010,131211,30033,12433,5343,3545,2533,1893,1471,1119,b28,993,863,765
11101100110,2121011,131212,30034,12434,5344,3546,2534,1894,1472,111a,b29,994,864,766
11101100111,2121012,131213,30040,12435,5345,3547,2535,1895,1473,111b,b2a,995,865,767
11101101000,2121020,131220,30041,12440,5346,3550,2536,1896,1474,1120,b2b,996,866,768
11101101001,2121021,131221,30042,12441,5350,3551,2537,1897,1475,1121,b2c,997,867,769
11101101010,2121022,131222,30043,12442,5351,3552,2538,1898,1476,1122,b30,998,868,76a
11101101011,2121100,131223,30044,12443,5352,3553,2540,1899,1477,1123,b31,999,869,76b
11101101100,2121101,131230,30100,12444,5353,3554,2541,1900,1478,1124,b32,99a,86a,76c
11101101101,2121102,131231,30101,12445,5354,3555,2542,1901,1479,1125,b33,99b,86b,76d
11101101110,2121110,131232,30102,12450,5355,3556,2543,1902,147a,1126,b34,99c,86c,76e
11101101111,2121111,131233,30103,12451,5356,3557,2544,1903,1480,1127,b35,99d,86d,76f
11101110000,2121112,131300,30104,12452,5360,3560,2545,1904,1481,1128,b36,9a0,86e,770
11101110001,2121120,131301,30110,12453,5361,3561,2546,1905,1482,1129,b37,9a1,870,771
11101110010,2121121,131302,30111,12454,5362,3562,2547,1906,1483,112a,b38,9a2,871,772
11101110011,2121122,131303,30112,12455,5363,3563,2548,1907,1484,112b,b39,9a3,872,773
11101110100,2121200,131310,30113,12500,5364,3564,2550,1908,1485,1130,b3a,9a4,873,774
11101110101,2121201,131311,30114,12501,5365,3565,2551,1909,1486,1131,b3b,9a5,874,775
11101110110,2121202,131312,30120,12502,5366,3566,2552,1910,1487,1132,b3c,9a6,875,776
11101110111,2121210,131313,30121,12503,5400,3567,2553,1911,1488,1133,b40,9a7,876,777
11101111000,2121211,131320,30122,12504,5401,3570,2554,1912,1489,1134,b41,9a8,877,778
11101111001,2121212,131321,30123,12505,5402,3571,2555,1913,148a,1135,b42,9a9,878,779
11101111010,2121220,131322,30124,12510,5403,3572,2556,1914,1490,1136,b43,9aa,879,77a
11101111011,2121221,131323,30130,12511,5404,3573,2557,1915,1491,1137,b44,9ab,87a,77b
11101111100,2121222,131330,30131,12512,5405,3574,2558,1916,1492,1138,b45,9ac,87b,77c
11101111101,2122000,131331,30132,12513,5406,3575,2560,1917,1493,1139,b46,9ad,87c,77d
11101111110,2122001,131332,30133,12514,5410,3576,2561,1918,1494,113a,b47,9b0,87d,77e
11101111111,2122002,131333,30134,12515,5411,3577,2562,1919,1495,113b,b48,9b1,87e,77f
11110000000,2122010,132000,30140,12520,5412,3600,2563,1920,1496,1140,b49,9b2,880,780
11110000001,2122011,132001,30141,12521,5413,3601,2564,1921,1497,1141,b4a,9b3,881,781
11110000010,2122012,132002,30142,12522,5414,3602,2565,1922,1498,1142,b4b,9b4,882,782
11110000011,2122020,132003,30143,12523,5415,3603,2566,1923,1499,1143,b4c,9b5,883,783
11110000100,2122021,132010,30144,12524,5416,3604,2567,1924,149a,1144,b50,9b6,884,784
11110000101,2122022,132011,30200,12525,5420,3605,2568,1925,14a0,1145,b51,9b7,885,785
11110000110,2122100,132012,30201,12530,5421,3606,2570,1926,14a1,1146,b52,9b8,886,786
11110000111,2122101,132013,30202,12531,5422,3607,2571,1927,14a2,1147,b53,9b9,887,787
11110001000,2122102,132020,30203,12532,5423,3610,2572,1928,14a3,1148,b54,9ba,888,788
11110001001,2122110,132021,30204,12533,5424,3611,2573,1929,14a4,1149,b55,9bb,889,789
11110001010,2122111,132022,30210,12534,5425,3612,2574,1930,14a5,114a,b56,9bc,88a,78a
11110001011,2122112,132023,30211,12535,5426,3613,2575,1931,14a6,114b,b57,9bd,88b,78b
11110001100,2122120,132030,30212,12540,5430,3614,2576,1932,14a7,1150,b58,9c0,88c,78c
11110001101,2122121,132031,30213,12541,5431,3615,2577,1933,14a8,1151,b59,9c1,88d,78d
11110001110,2122122,132032,30214,12542,5432,3616,2578,1934,14a9,1152,b5a,9c2,88e,78e
11110001111,2122200,132033,30220,12543,5433,3617,2580,1935,14aa,1153,b5b,9c3,890,78f
11110010000,2122201,132100,30221,12544,5434,3620,2581,1936,1500,1154,b5c,9c4,891,790
11110010001,2122202,132101,30222,12545,5435,3621,2582,1937,1501,1155,b60,9c5,892,791
11110010010,2122210,132102,30223,12550,5436,3622,2583,1938,1502,1156,b61,9c6,893,792
11110010011,2122211,132103,30224,12551,5440,3623,2584,1939,1503,1157,b62,9c7,894,793
11110010100,2122212,132110,30230,12552,5441,3624,2585,1940,1504,1158,b63,9c8,895,794
11110010101,2122220,132111,30231,12553,5442,3625,2586,1941,1505,1159,b64,9c9,896,795
11110010110,2122221,132112,30232,12554,5443,3626,2587,1942,1506,115a,b65,9ca,897,796
11110010111,2122222,132113,30233,12555,5444,3627,2588,1943,1507,115b,b66,9cb,898,797
11110011000,2200000,132120,30234,13000,5445,3630,2600,1944,1508,1160,b67,9cc,899,798
11110011001,2200001,132121,30240,13001,5446,3631,2601,1945,1509,1161,b68,9cd,89a,799
11110011010,2200002,132122,30241,13002,5450,3632,2602,1946,150a,1162,b69,9d0,89b,79a
11110011011,2200010,132123,30242,13003,5451,3633,2603,1947,1510,1163,b6a,9d1,89c,79b
11110011100,2200011,132130,30243,13004,5452,3634,2604,1948,1511,1164,b6b,9d2,89d,79c
11110011101,2200012,132131,30244,13005,5453,3635,2605,1949,1512,1165,b6c,9d3,89e,79d
11110011110,2200020,132132,30300,13010,5454,3636,2606,1950,1513,1166,b70,9d4,8a0,79e
11110011111,2200021,132133,30301,13011,5455,3637,2607,1951,1514,1167,b71,9d5,8a1,79f
11110100000,2200022,132200,30302,13012,5456,3640,2608,1952,1515,1168,b72,9d6,8a2,7a0
11110100001,2200100,132201,30303,13013,5460,3641,2610,1953,1516,1169,b73,9d7,8a3,7a1
11110100010,2200101,132202,30304,13014,5461,3642,2611,1954,1517,116a,b74,9d8,8a4,7a2
11110100011,2200102,132203,30310,13015,5462,3643,2612,1955,1518,116b,b75,9d9,8a5,7a3
11110100100,2200110,132210,30311,13020,5463,3644,2613,1956,1519,1170,b76,9da,8a6,7a4
11110100101,2200111,132211,30312,13021,5464,3645,2614,1957,151a,1171,b77,9db,8a7,7a5
11110100110,2200112,132212,30313,13022,5465,3646,2615,1958,1520,1172,b78,9dc,8a8,7a6
11110100111,2200120,132213,30314,13023,5466,3647,2616,1959,1521,1173,b79,9dd,8a9,7a7
11110101000,2200121,132220,30320,13024,5500,3650,2617,1960,1522,1174,b7a,a00,8aa,7a8
11110101001,2200122,132221,30321,13025,5501,3651,2618,1961,1523,1175,b7b,a01,8ab,7a9
11110101010,2200200,132222,30322,13030,5502,3652,2620,1962,1524,1176,b7c,a02,8ac,7aa
11110101011,2200201,132223,30323,13031,5503,3653,2621,1963,1525,1177,b80,a03,8ad,7ab
11110101100,2200202,132230,30324,13032,5504,3654,2622,1964,1526,1178,b81,a04,8ae,7ac
11110101101,2200210,132231,30330,13033,5505,3655,2623,1965,1527,1179,b82,a05,8b0,7ad
11110101110,2200211,132232,30331,13034,5506,3656,2624,1966,1528,117a,b83,a06,8b1,7ae
11110101111,2200212,132233,30332,13035,5510,3657,2625,1967,1529,117b,b84,a07,8b2,7af
11110110000,2200220,132300,30333,13040,5511,3660,2626,1968,152a,1180,b85,a08,8b3,7b0
11110110001,2200221,132301,30334,13041,5512,3661,2627,1969,1530,1181,b86,a09,8b4,7b1
11110110010,2200222,132302,30340,13042,5513,3662,2628,1970,1531,1182,b87,a0a,8b5,7b2
11110110011,2201000,132303,30341,13043,5514,3663,2630,1971,1532,1183,b88,a0b,8b6,7b3
11110110100,2201001,132310,30342,13044,5515,3664,2631,1972,1533,1184,b89,a0c,8b7,7b4
11110110101,2201002,132311,30343,13045,5516,3665,2632,1973,1534,1185,b8a,a0d,8b8,7b5
11110110110,2201010,132312,30344,13050,5520,3666,2633,1974,1535,1186,b8b,a10,8b9,7b6
11110110111,2201011,132313,30400,13051,5521,3667,2634,1975,1536,1187,b8c,a11,8ba,7b7
11110111000,2201012,132320,30401,13052,5522,3670,2635,1976,1537,1188,b90,a12,8bb,7b8
11110111001,2201020,132321,30402,13053,5523,3671,2636,1977,1538,1189,b91,a13,8bc,7b9
11110111010,2201021,132322,30403,13054,5524,3672,2637,1978,1539,118a,b92,a14,8bd,7ba
11110111011,2201022,132323,30404,13055,5525,3673,2638,1979,153a,118b,b93,a15,8be,7bb
11110111100,2201100,132330,30410,13100,5526,3674,2640,1980,1540,1190,b94,a16,8c0,7bc
11110111101,2201101,132331,30411,13101,5530,3675,2641,1981,1541,1191,b95,a17,8c1,7bd
11110111110,2201102,132332,30412,13102,5531,3676,2642,1982,1542,1192,b96,a18,8c2,7be
11110111111,2201110,132333,30413,13103,5532,3677,2643,1983,1543,1193,b97,a19,8c3,7bf
11111000000,2201111,133000,30414,13104,5533,3700,2644,1984,1544,1194,b98,a1a,8c4,7c0
11111000001,2201112,133001,30420,13105,5534,3701,2645,1985,1545,1195,b99,a1b,8c5,7c1
11111000010,2201120,133002,30421,13110,5535,3702,2646,1986,1546,1196,b9a,a1c,8c6,7c2
11111000011,2201121,133003,30422,13111,5536,3703,2647,1987,1547,1197,b9b,a1d,8c7,7c3
11111000100,2201122,133010,30423,13112,5540,3704,2648,1988,1548,1198,b9c,a20,8c8,7c4
11111000101,2201200,133011,30424,13113,5541,3705,2650,1989,1549,1199,ba0,a21,8c9,7c5
11111000110,2201201,133012,30430,13114,5542,3706,2651,1990,154a,119a,ba1,a22,8ca,7c6
11111000111,2201202,133013,30431,13115,5543,3707,2652,1991,1550,119b,ba2,a23,8cb,7c7
11111001000,2201210,133020,30432,13120,5544,3710,2653,1992,1551,11a0,ba3,a24,8cc,7c8
11111001001,2201211,133021,30433,13121,5545,3711,2654,1993,1552,11a1,ba4,a25,8cd,7c9
11111001010,2201212,133022,30434,13122,5546,3712,2655,1994,1553,11a2,ba5,a26,8ce,7ca
11111001011,2201220,133023,30440,13123,5550,3713,2656,1995,1554,11a3,ba6,a27,8d0,7cb
11111001100,2201221,133030,30441,13124,5551,3714,2657,1996,1555,11a4,ba7,a28,8d1,7cc
11111001101,2201222,133031,30442,13125,5552,3715,2658,1997,1556,11a5,ba8,a29,8d2,7cd
11111001110,2202000,133032,30443,13130,5553,3716,2660,1998,1557,11a6,ba9,a2a,8d3,7ce
11111001111,2202001,133033,30444,13131,5554,3717,2661,1999,1558,11a7,baa,a2b,8d4,7cf
11111010000,2202002,133100,31000,13132,5555,3720,2662,2000,1559,11a8,bab,a2c,8d5,7d0
11111010001,2202010,133101,31001,13133,5556,3721,2663,2001,155a,11a9,bac,a2d,8d6,7d1
11111010010,2202011,133102,31002,13134,5560,3722,2664,2002,1560,11aa,bb0,a30,8d7,7d2
11111010011,2202012,133103,31003,13135,5561,3723,2665,2003,1561,11ab,bb1,a31,8d8,7d3
11111010100,2202020,133110,31004,13140,5562,3724,2666,2004,1562,11b0,bb2,a32,8d9,7d4
11111010101,2202021,133111,31010,13141,5563,3725,2667,2005,1563,11b1,bb3,a33,8da,7d5
11111010110,2202022,133112,31011,13142,5564,3726,2668,2006,1564,11b2,bb4,a34,8db,7d6
11111010111,2202100,133113,31012,13143,5565,3727,2670,2007,1565,11b3,bb5,a35,8dc,7d7
11111011000,2202101,133120,31013,13144,5566,3730,2671,2008,1566,11b4,bb6,a36,8dd,7d8
11111011001,2202102,133121,31014,13145,5600,3731,2672,2009,1567,11b5,bb7,a37,8de,7d9
11111011010,2202110,133122,31020,13150,5601,3732,2673,2010,1568,11b6,bb8,a38,8e0,7da
11111011011,2202111,133123,31021,13151,5602,3733,2674,2011,1569,11b7,bb9,a39,8e1,7db
11111011100,2202112,133130,31022,13152,5603,3734,2675,2012,156a,11b8,bba,a3a,8e2,7dc
11111011101,2202120,133131,31023,13153,5604,3735,2676,2013,1570,11b9,bbb,a3b,8e3,7dd
11111011110,2202121,133132,31024,13154,5605,3736,2677,2014,1571,11ba,bbc,a3c,8e4,7de
11111011111,2202122,133133,31030,13155,5606,3737,2678,2015,1572,11bb,bc0,a3d,8e5,7df
11111100000,2202200,133200,31031,13200,5610,3740,2680,2016,1573,1200,bc1,a40,8e6,7e0
11111100001,2202201,133201,31032,13201,5611,3741,2681,2017,1574,1201,bc2,a41,8e7,7e1
11111100010,2202202,133202,31033,13202,5612,3742,2682,2018,1575,1202,bc3,a42,8e8,7e2
11111100011,2202210,133203,31034,13203,5613,3743,2683,2019,1576,1203,bc4,a43,8e9,7e3
11111100100,2202211,133210,31040,13204,5614,3744,2684,2020,1577,1204,bc5,a44,8ea,7e4
11111100101,2202212,133211,31041,13205,5615,3745,2685,2021,1578,1205,bc6,a45,8eb,7e5
11111100110,2202220,133212,31042,13210,5616,3746,2686,2022,1579,1206,bc7,a46,8ec,7e6
11111100111,2202221,133213,31043,13211,5620,3747,2687,2023,157a,1207,bc8,a47,8ed,7e7
11111101000,2202222,133220,31044,13212,5621,3750,2688,2024,1580,1208,bc9,a48,8ee,7e8
11111101001,2210000,133221,31100,13213,5622,3751,2700,2025,1581,1209,bca,a49,900,7e9
11111101010,2210001,133222,31101,13214,5623,3752,2701,2026,1582,120a,bcb,a4a,901,7ea
11111101011,2210002,133223,31102,13215,5624,3753,2702,2027,1583,120b,bcc,a4b,902,7eb
11111101100,2210010,133230,31103,13220,5625,3754,2703,2028,1584,1210,c00,a4c,903,7ec
11111101101,2210011,133231,31104,13221,5626,3755,2704,2029,1585,1211,c01,a4d,904,7ed
11111101110,2210012,133232,31110,13222,5630,3756,2705,2030,1586,1212,c02,a50,905,7ee
11111101111,2210020,133233,31111,13223,5631,3757,2706,2031,1587,1213,c03,a51,906,7ef
11111110000,2210021,133300,31112,13224,5632,3760,2707,2032,1588,1214,c04,a52,907,7f0
11111110001,2210022,133301,31113,13225,5633,3761,2708,2033,1589,1215,c05,a53,908,7f1
11111110010,2210100,133302,31114,13230,5634,3762,2710,2034,158a,1216,c06,a54,909,7f2
11111110011,2210101,133303,31120,13231,5635,3763,2711,2035,1590,1217,c07,a55,90a,7f3
11111110100,2210102,133310,31121,13232,5636,3764,2712,2036,1591,1218,c08,a56,90b,7f4
11111110101,2210110,133311,31122,13233,5640,3765,2713,2037,1592,1219,c09,a57,90c,7f5
11111110110,2210111,133312,31123,13234,5641,3766,2714,2038,1593,121a,c0a,a58,90d,7f6
11111110111,2210112,133313,31124,13235,5642,3767,2715,2039,1594,121b,c0b,a59,90e,7f7
11111111000,2210120,133320,31130,13240,5643,3770,2716,2040,1595,1220,c0c,a5a,910,7f8
11111111001,2210121,133321,31131,13241,5644,3771,2717,2041,1596,1221,c10,a5b,911,7f9
11111111010,2210122,133322,31132,13242,5645,3772,2718,2042,1597,1222,c11,a5c,912,7fa
11111111011,2210200,133323,31133,13243,5646,3773,2720,2043,1598,1223,c12,a5d,913,7fb
11111111100,2210201,133330,31134,13244,5650,3774,2721,2044,1599,1224,c13,a60,914,7fc
11111111101,2210202,133331,31140,13245,5651,3775,2722,2045,159a,1225,c14,a61,915,7fd
11111111110,2210210,133332,31141,13250,5652,3776,2723,2046,15a0,1226,c15,a62,916,7fe
11111111111,2210211,133333,31142,13251,5653,3777,2724,2047,15a1,1227,c16,a63,917,7ff
100000000000,2210212,200000,31143,13252,5654,4000,2725,2048,15a2,1228,c17,a64,918,800
100000000001,2210220,200001,31144,13253,5655,4001,2726,2049,15a3,1229,c18,a65,919,801
100000000010,2210221,200002,31200,13254,5656,4002,2727,2050,15a4,122a,c19,a66,91a,802
100000000011,2210222,200003,31201,13255,5660,4003,2728,2051,15a5,122b,c1a,a67,91b,803
100000000100,2211000,200010,31202,13300,5661,4004,2730,2052,15a6,1230,c1b,a68,91c,804
100000000101,2211001,200011,31203,13301,5662,4005,2731,2053,15a7,1231,c1c,a69,91d,805
100000000110,2211002,200012,31204,13302,5663,4006,2732,2054,15a8,1232,c20,a6a,91e,806
100000000111,2211010,200013,31210,13303,5664,4007,2733,2055,15a9,1233,c21,a6b,920,807
100000001000,2211011,200020,31211,13304,5665,4010,2734,2056,15aa,1234,c22,a6c,921,808
100000001001,2211012,200021,31212,13305,5666,4011,2735,2057,1600,1235,c23,a6d,922,809
100000001010,2211020,200022,31213,13310,6000,4012,2736,2058,1601,1236,c24,a70,923,80a
100000001011,2211021,200023,31214,13311,6001,4013,2737,2059,1602,1237,c25,a71,924,80b
100000001100,2211022,200030,31220,13312,6002,4014,2738,2060,1603,1238,c26,a72,925,80c
100000001101,2211100,200031,31221,13313,6003,4015,2740,2061,1604,1239,c27,a73,926,80d
100000001110,2211101,200032,31222,13314,6004,4016,2741,2062,1605,123a,c28,a74,927,80e
100000001111,2211102,200033,31223,13315,6005,4017,2742,2063,1606,123b,c29,a75,928,80f
100000010000,2211110,200100,31224,13320,6006,4020,2743,2064,1607,1240,c2a,a76,929,810
100000010001,2211111,200101,31230,13321,6010,4021,2744,2065,1608,1241,c2b,a77,92a,811
100000010010,2211112,200102,31231,13322,6011,4022,2745,2066,1609,1242,c2c,a78,92b,812
100000010011,2211120,200103,31232,13323,6012,4023,2746,2067,160a,1243,c30,a79,92c,813
100000010100,2211121,200110,31233,13324,6013,4024,2747,2068,1610,1244,c31,a7a,92d,814
100000010101,2211122,200111,31234,13325,6014,4025,2748,2069,1611,1245,c32,a7b,92e,815
100000010110,2211200,200112,31240,13330,6015,4026,2750,2070,1612,1246,c33,a7c,930,816
100000010111,2211201,200113,31241,13331,6016,4027,2751,2071,1613,1247,c34,a7d,931,817
100000011000,2211202,200120,31242,13332,6020,4030,2752,2072,1614,1248,c35,a80,932,818
100000011001,2211210,200121,31243,13333,6021,4031,2753,2073,1615,1249,c36,a81,933,819
100000011010,2211211,200122,31244,13334,6022,4032,2754,2074,1616,124a,c37,a82,934,81a
100000011011,2211212,200123,31300,13335,6023,4033,2755,2075,1617,124b,c38,a83,935,81b
100000011100,2211220,200130,31301,13340,6024,4034,2756,2076,1618,1250,c39,a84,936,81c
100000011101,2211221,200131,31302,13341,6025,4035,2757,2077,1619,1251,c3a,a85,937,81d
100000011110,2211222,200132,31303,13342,6026,4036,2758,2078,161a,1252,c3b,a86,938,81e
100000011111,2212000,200133,31304,13343,6030,4037,2760,2079,1620,1253,c3c,a87,939,81f
100000100000,2212001,200200,31310,13344,6031,4040,2761,2080,1621,1254,c40,a88,93a,820
100000100001,2212002,200201,31311,13345,6032,4041,2762,2081,1622,1255,c41,a89,93b,821
100000100010,2212010,200202,31312,13350,6033,4042,2763,2082,1623,1256,c42,a8a,93c,822
100000100011,2212011,200203,31313,13351,6034,4043,2764,2083,1624,1257,c43,a8b,93d,823
100000100100,2212012,200210,31314,13352,6035,4044,2765,2084,1625,1258,c44,a8c,93e,824
100000100101,2212020,200211,31320,13353,6036,4045,2766,2085,1626,1259,c45,a8d,940,825
100000100110,2212021,200212,31321,13354,6040,4046,2767,2086,1627,125a,c46,a90,941,826
100000100111,2212022,200213,31322,13355,6041,4047,2768,2087,1628,125b,c47,a91,942,827
100000101000,2212100,200220,31323,13400,6042,4050,2770,2088,1629,1260,c48,a92,943,828
100000101001,2212101,200221,31324,13401,6043,4051,2771,2089,162a,1261,c49,a93,944,829
100000101010,2212102,200222,31330,13402,6044,4052,2772,2090,1630,1262,c4a,a94,945,82a
100000101011,2212110,200223,31331,13403,6045,4053,2773,2091,1631,1263,c4b,a95,946,82b
100000101100,2212111,200230,31332,13404,6046,4054,2774,2092,1632,1264,c4c,a96,947,82c
100000101101,2212112,200231,31333,13405,6050,4055,2775,2093,1633,1265,c50,a97,948,82d
100000101110,2212120,200232,31334,13410,6051,4056,2776,2094,1634,1266,c51,a98,949,82e
100000101111,2212121,200233,31340,13411,6052,4057,2777,2095,1635,1267,c52,a99,94a,82f
100000110000,2212122,200300,31341,13412,6053,4060,2778,2096,1636,1268,c53,a9a,94b,830
100000110001,2212200,200301,31342,13413,6054,4061,2780,2097,1637,1269,c54,a9b,94c,831
100000110010,2212201,200302,31343,13414,6055,4062,2781,2098,1638,126a,c55,a9c,94d,832
100000110011,2212202,200303,31344,13415,6056,4063,2782,2099,1639,126b,c56,a9d,94e,833
100000110100,2212210,200310,31400,13420,6060,4064,2783,2100,163a,1270,c57,aa0,950,834
100000110101,2212211,200311,31401,13421,6061,4065,2784,2101,1640,1271,c58,aa1,951,835
100000110110,2212212,200312,31402,13422,6062,4066,2785,2102,1641,1272,c59,aa2,952,836
100000110111,2212220,200313,31403,13423,6063,4067,2786,2103,1642,1273,c5a,aa3,953,837
100000111000,2212221,200320,31404,13424,6064,4070,2787,2104,1643,1274,c5b,aa4,954,838
100000111001,2212222,200321,31410,13425,6065,4071,2788,2105,1644,1275,c5c,aa5,955,839
100000111010,2220000,200322,31411,13430,6066,4072,2800,2106,1645,1276,c60,aa6,956,83a
100000111011,2220001,200323,31412,13431,6100,4073,2801,2107,1646,1277,c61,aa7,957,83b
100000111100,2220002,200330,31413,13432,6101,4074,2802,2108,1647,1278,c62,aa8,958,83c
100000111101,2220010,200331,31414,13433,6102,4075,2803,2109,1648,1279,c63,aa9,959,83d
100000111110,2220011,200332,31420,13434,6103,4076,2804,2110,1649,127a,c64,aaa,95a,83e
100000111111,2220012,200333,31421,13435,6104,4077,2805,2111,164a,127b,c65,aab,95b,83f
100001000000,2220020,201000,31422,13440,6105,4100,2806,2112,1650,1280,c66,aac,95c,840
100001000001,2220021,201001,31423,13441,6106,4101,2807,2113,1651,1281,c67,aad,95d,841
100001000010,2220022,201002,31424,13442,6110,4102,2808,2114,1652,1282,c68,ab0,95e,842
100001000011,2220100,201003,31430,13443,6111,4103,2810,2115,1653,1283,c69,ab1,960,843
100001000100,2220101,201010,31431,13444,6112,4104,2811,2116,1654,1284,c6a,ab2,961,844
100001000101,2220102,201011,31432,13445,6113,4105,2812,2117,1655,1285,c6b,ab3,962,845
100001000110,2220110,201012,31433,13450,6114,4106,2813,2118,1656,1286,c6c,ab4,963,846
100001000111,2220111,201013,31434,13451,6115,4107,2814,2119,1657,1287,c70,ab5,964,847
100001001000,2220112,201020,31440,13452,6116,4110,2815,2120,1658,1288,c71,ab6,965,848
100001001001,2220120,201021,31441,13453,6120,4111,2816,2121,1659,1289,c72,ab7,966,849
100001001010,2220121,201022,31442,13454,6121,4112,2817,2122,165a,128a,c73,ab8,967,84a
100001001011,2220122,201023,31443,13455,6122,4113,2818,2123,1660,128b,c74,ab9,968,84b
100001001100,2220200,201030,31444,13500,6123,4114,2820,2124,1661,1290,c75,aba,969,84c
100001001101,2220201,201031,32000,13501,6124,4115,2821,2125,1662,1291,c76,abb,96a,84d
100001001110,2220202,201032,32001,13502,6125,4116,2822,2126,1663,1292,c77,abc,96b,84e
100001001111,2220210,201033,32002,13503,6126,4117,2823,2127,1664,1293,c78,abd,96c,84f
100001010000,2220211,201100,32003,13504,6130,4120,2824,2128,1665,1294,c79,ac0,96d,850
100001010001,2220212,201101,32004,13505,6131,4121,2825,2129,1666,1295,c7a,ac1,96e,851
100001010010,2220220,201102,32010,13510,6132,4122,2826,2130,1667,1296,c7b,ac2,970,852
100001010011,2220221,201103,32011,13511,6133,4123,2827,2131,1668,1297,c7c,ac3,971,853
100001010100,2220222,201110,32012,13512,6134,4124,2828,2132,1669,1298,c80,ac4,972,854
100001010101,2221000,201111,32013,13513,6135,4125,2830,2133,166a,1299,c81,ac5,973,855
100001010110,2221001,201112,32014,13514,6136,4126,2831,2134,1670,129a,c82,ac6,974,856
100001010111,2221002,201113,32020,13515,6140,4127,2832,2135,1671,129b,c83,ac7,975,857
100001011000,2221010,201120,32021,13520,6141,4130,2833,2136,1672,12a0,c84,ac8,976,858
100001011001,2221011,201121,32022,13521,6142,4131,2834,2137,1673,12a1,c85,ac9,977,859
100001011010,2221012,201122,32023,13522,6143,4132,2835,2138,1674,12a2,c86,aca,978,85a
100001011011,2221020,201123,32024,13523,6144,4133,2836,2139,1675,12a3,c87,acb,979,85b
100001011100,2221021,201130,32030,13524,6145,4134,2837,2140,1676,12a4,c88,acc,97a,85c
100001011101,2221022,201131,32031,13525,6146,4135,2838,2141,1677,12a5,c89,acd,97b,85d
100001011110,2221100,201132,32032,13530,6150,4136,2840,2142,1678,12a6,c8a,ad0,97c,85e
100001011111,2221101,201133,32033,13531,6151,4137,2841,2143,1679,12a7,c8b,ad1,97d,85f
100001100000,2221102,201200,32034,13532,6152,4140,2842,2144,167a,12a8,c8c,ad2,97e,860
100001100001,2221110,201201,32040,13533,6153,4141,2843,2145,1680,12a9,c90,ad3,980,861
100001100010,2221111,201202,32041,13534,6154,4142,2844,2146,1681,12aa,c91,ad4,981,862
100001100011,2221112,201203,32042,13535,6155,4143,2845,2147,1682,12ab,c92,ad5,982,863
100001100100,2221120,201210,32043,13540,6156,4144,2846,2148,1683,12b0,c93,ad6,983,864
100001100101,2221121,201211,32044,13541,6160,4145,2847,2149,1684,12b1,c94,ad7,984,865
100001100110,2221122,201212,32100,13542,6161,4146,2848,2150,1685,12b2,c95,ad8,985,866
100001100111,2221200,201213,32101,13543,6162,4147,2850,2151,1686,12b3,c96,ad9,986,867
100001101000,2221201,201220,32102,13544,6163,4150,2851,2152,1687,12b4,c97,ada,987,868
100001101001,2221202,201221,32103,13545,6164,4151,2852,2153,1688,12b5,c98,adb,988,869
100001101010,2221210,201222,32104,13550,6165,4152,2853,2154,1689,12b6,c99,adc,989,86a
100001101011,2221211,201223,32110,13551,6166,4153,2854,2155,168a,12b7,c9a,add,98a,86b
100001101100,2221212,201230,32111,13552,6200,4154,2855,2156,1690,12b8,c9b,b00,98b,86c
100001101101,2221220,201231,32112,13553,6201,4155,2856,2157,1691,12b9,c9c,b01,98c,86d
